Energy,Magnetization
-2172.0,-82
-2600.0,60
-2676.0,-24
-2668.0,0
-2932.0,-70
-2904.0,-200
-2980.0,-88
-3240.0,-176
-3244.0,-180
-3404.0,-110
-3132.0,-210
-3320.0,-208
-3516.0,-116
-3436.0,24
-3388.0,76
-3324.0,182
-3384.0,320
-3436.0,216
-3392.0,292
-3356.0,134
-3248.0,68
-3128.0,130
-3340.0,100
-2944.0,74
-2980.0,160
-3268.0,250
-3316.0,222
-3124.0,152
-3312.0,44
-3192.0,-2
-3356.0,-12
-3344.0,-4
-3188.0,-20
-3288.0,-180
-3276.0,-264
-3320.0,-126
-3360.0,-92
-3028.0,-76
-3160.0,-24
-3256.0,118
-3176.0,-6
-3172.0,-88
-3164.0,-130
-3188.0,-114
-3244.0,-104
-3068.0,-224
-3248.0,-170
-3260.0,-30
-3252.0,-182
-3344.0,-112
-3336.0,44
-3348.0,60
-3496.0,164
-3460.0,144
-3324.0,26
-3188.0,32
-3108.0,20
-3104.0,72
-3296.0,-8
-3180.0,12
-3228.0,-32
-3208.0,52
-3248.0,30
-3368.0,-30
-3208.0,62
-3184.0,92
-3244.0,94
-3088.0,272
-3112.0,114
-3052.0,32
-2932.0,58
-3240.0,-40
-3244.0,-138
-3212.0,-210
-3232.0,-194
-3132.0,-90
-3316.0,66
-3224.0,-12
-3268.0,24
-3096.0,60
-3228.0,250
-3268.0,448
-3340.0,538
-3288.0,560
-3192.0,484
-3500.0,408
-3392.0,362
-3356.0,322
-3372.0,218
-3152.0,176
-3260.0,108
-3216.0,92
-3276.0,146
-3284.0,116
-3308.0,22
-3284.0,56
-3408.0,-138
-3348.0,-198
-3116.0,-116
-3224.0,-122
-3100.0,-26
-3200.0,-46
-3268.0,-44
-3116.0,0
-3220.0,-96
-3220.0,-120
-3296.0,-116
-3336.0,-166
-3500.0,-334
-3436.0,-442
-3328.0,-480
-3316.0,-414
-3272.0,-362
-3300.0,-260
-3436.0,-110
-3420.0,40
-3256.0,16
-3216.0,-42
-3360.0,-22
-3448.0,-154
-3324.0,-112
-3024.0,-16
-3276.0,0
-3380.0,-90
-3188.0,-144
-3156.0,-130
-3244.0,-106
-3256.0,-126
-3328.0,-144
-3404.0,-14
-3268.0,-86
-3284.0,10
-3232.0,58
-3416.0,170
-3312.0,170
-3320.0,198
-3420.0,90
-3240.0,-44
-3292.0,-4
-3236.0,-88
-3212.0,-188
-3076.0,-58
-3236.0,-130
-3248.0,-18
-3408.0,14
-3268.0,-92
-3156.0,74
-3140.0,18
-3268.0,42
-3160.0,110
-3052.0,104
-3044.0,106
-3252.0,-28
-3136.0,96
-3104.0,116
-3228.0,76
-3260.0,144
-3132.0,182
-3176.0,62
-3272.0,38
-3336.0,76
-3360.0,102
-3288.0,48
-3276.0,28
-3256.0,58
-3132.0,-26
-3232.0,-84
-3292.0,-114
-3328.0,22
-3216.0,-128
-3124.0,-148
-3056.0,-136
-3008.0,-82
-3032.0,-208
-3004.0,-286
-3032.0,-318
-3208.0,-360
-3240.0,-392
-3032.0,-336
-3016.0,-122
-3304.0,-144
-3108.0,-26
-3060.0,114
-3300.0,52
-3324.0,0
-3164.0,-68
-3176.0,-86
-3288.0,-24
-3368.0,-46
-3476.0,2
-3384.0,-50
-3332.0,-40
-3284.0,36
-3364.0,196
-3264.0,72
-3212.0,-18
-3272.0,-82
-3172.0,-40
-3148.0,-14
-3196.0,-10
-2996.0,98
-3156.0,56
-3236.0,56
-3256.0,32
-3004.0,-14
-3212.0,22
-3312.0,162
-3308.0,112
-3240.0,28
-3052.0,50
-3032.0,60
-3144.0,96
-3352.0,100
-3268.0,122
-3416.0,10
-3176.0,-110
-3272.0,-176
-3044.0,-102
-3144.0,92
-3148.0,182
-3184.0,124
-3288.0,216
-3324.0,260
-3328.0,184
-3156.0,294
-3224.0,152
-3396.0,186
-3388.0,116
-3264.0,214
-3232.0,248
-3180.0,114
-3168.0,290
-3440.0,446
-3272.0,372
-3184.0,280
-3316.0,324
-3436.0,338
-3408.0,294
-3420.0,268
-3316.0,280
-3348.0,356
-3320.0,402
-3264.0,270
-3128.0,250
-3384.0,264
-3284.0,186
-3460.0,222
-3340.0,58
-3408.0,18
-3156.0,132
-3120.0,96
-3252.0,142
-3388.0,52
-3332.0,30
-3208.0,-122
-3080.0,-140
-3104.0,-100
-3208.0,-130
-3356.0,-184
-3316.0,-222
-3252.0,-102
-3232.0,30
-3216.0,-48
-3108.0,-38
-3396.0,-172
-3216.0,-198
-3192.0,-178
-3236.0,-284
-3216.0,-204
-3228.0,-260
-3184.0,-50
-3164.0,50
-3136.0,16
-3280.0,8
-3124.0,18
-3284.0,-14
-3392.0,86
-3424.0,74
-3244.0,20
-3196.0,148
-3328.0,32
-3192.0,36
-3168.0,138
-3288.0,134
-3204.0,120
-3448.0,104
-3468.0,246
-3304.0,274
-3396.0,300
-3312.0,372
-3252.0,404
-3140.0,446
-3084.0,392
-3168.0,388
-3184.0,266
-3192.0,282
-3228.0,270
-3296.0,228
-3392.0,130
-3184.0,170
-3316.0,90
-3372.0,30
-3240.0,138
-3060.0,134
-3156.0,160
-3184.0,192
-3204.0,158
