Energy,Magnetization
-736.0,40
-928.0,44
-1112.0,130
-1148.0,158
-1272.0,190
-1340.0,248
-1428.0,268
-1448.0,312
-1468.0,334
-1528.0,348
-1608.0,392
-1604.0,432
-1604.0,456
-1624.0,488
-1628.0,478
-1596.0,464
-1624.0,498
-1648.0,502
-1612.0,504
-1656.0,516
-1636.0,488
-1640.0,504
-1608.0,504
-1612.0,514
-1644.0,524
-1652.0,530
-1632.0,526
-1636.0,546
-1688.0,554
-1684.0,554
-1668.0,530
-1692.0,542
-1680.0,514
-1664.0,488
-1648.0,498
-1684.0,492
-1672.0,480
-1644.0,454
-1632.0,514
-1672.0,546
-1692.0,540
-1720.0,530
-1764.0,548
-1704.0,540
-1784.0,554
-1716.0,556
-1716.0,524
-1704.0,548
-1720.0,582
-1740.0,580
-1732.0,586
-1728.0,596
-1708.0,580
-1724.0,626
-1712.0,628
-1716.0,606
-1740.0,618
-1744.0,620
-1696.0,614
-1744.0,610
-1716.0,592
-1708.0,610
-1704.0,598
-1748.0,614
-1744.0,620
-1744.0,650
-1712.0,660
-1680.0,654
-1716.0,658
-1784.0,642
-1748.0,636
-1796.0,666
-1744.0,632
-1792.0,636
-1756.0,608
-1748.0,606
-1712.0,594
-1756.0,592
-1708.0,604
-1744.0,586
-1800.0,584
-1780.0,592
-1732.0,604
-1740.0,608
-1740.0,636
-1708.0,614
-1760.0,624
-1768.0,632
-1716.0,606
-1728.0,616
-1732.0,598
-1740.0,604
-1764.0,610
-1760.0,606
-1772.0,606
-1740.0,612
-1708.0,604
-1708.0,600
-1664.0,576
-1688.0,584
-1700.0,572
-1644.0,560
-1724.0,592
-1716.0,600
-1752.0,604
-1744.0,602
-1720.0,612
-1756.0,616
-1804.0,642
-1680.0,632
-1744.0,642
-1772.0,668
-1752.0,678
-1768.0,672
-1728.0,672
-1732.0,668
-1724.0,676
-1760.0,678
-1760.0,682
-1800.0,712
-1780.0,710
-1808.0,730
-1812.0,712
-1824.0,732
-1792.0,758
-1780.0,760
-1772.0,764
-1784.0,776
-1788.0,780
-1772.0,774
-1844.0,794
-1832.0,798
-1796.0,798
-1756.0,774
-1756.0,760
-1744.0,764
-1816.0,782
-1788.0,796
-1744.0,772
-1768.0,782
-1792.0,798
-1808.0,802
-1832.0,806
-1792.0,808
-1756.0,780
-1800.0,790
-1788.0,784
-1800.0,784
-1784.0,794
-1796.0,808
-1752.0,796
-1780.0,808
-1808.0,778
-1828.0,794
-1812.0,784
-1852.0,768
-1808.0,764
-1764.0,786
-1804.0,784
-1780.0,784
-1808.0,802
-1776.0,794
-1788.0,822
-1808.0,814
-1808.0,806
-1840.0,818
-1800.0,814
-1828.0,832
-1800.0,828
-1764.0,828
-1756.0,820
-1792.0,852
-1756.0,812
-1780.0,828
-1768.0,820
-1820.0,868
-1836.0,882
-1848.0,902
-1844.0,918
-1828.0,938
-1908.0,964
-1904.0,970
-1908.0,974
-1912.0,978
-1948.0,988
-1916.0,980
-1908.0,982
-1928.0,988
-1908.0,982
-1912.0,984
-1920.0,988
-1912.0,986
-1876.0,968
-1876.0,968
-1888.0,966
-1900.0,970
-1936.0,980
-1888.0,964
-1940.0,982
-1880.0,970
-1832.0,952
-1816.0,946
-1840.0,944
-1856.0,954
-1852.0,952
-1860.0,948
-1884.0,942
-1884.0,964
-1952.0,990
-1928.0,982
-1968.0,994
-1976.0,1002
-1972.0,1004
-1956.0,1000
-1888.0,978
-1908.0,982
-1864.0,972
-1884.0,976
-1888.0,976
-1880.0,974
-1892.0,966
-1888.0,972
-1840.0,964
-1912.0,986
-1892.0,974
-1924.0,986
-1896.0,964
-1892.0,974
-1844.0,966
-1916.0,974
-1892.0,972
-1884.0,962
-1936.0,984
-1936.0,992
-1956.0,994
-1924.0,986
-1948.0,994
-1904.0,986
-1904.0,980
-1880.0,976
-1944.0,996
-1888.0,978
-1928.0,984
-1848.0,954
-1864.0,962
-1868.0,966
-1940.0,988
-1952.0,994
-1876.0,974
-1904.0,984
-1952.0,996
-1956.0,998
-1944.0,998
-1908.0,986
-1884.0,972
-1856.0,964
-1868.0,968
-1896.0,978
-1916.0,986
-1940.0,992
-1936.0,996
-1936.0,990
-1964.0,998
-1948.0,996
-1952.0,996
-1872.0,970
-1868.0,952
-1892.0,970
-1900.0,982
-1932.0,994
-1916.0,986
-1920.0,990
-1904.0,984
-1924.0,992
-1956.0,1000
-2008.0,1014
-1980.0,1006
-1964.0,1000
-1932.0,992
-1948.0,994
-1944.0,998
-1952.0,996
-1904.0,982
-1904.0,980
-1852.0,966
-1900.0,982
-1904.0,980
-1888.0,976
-1900.0,974
-1892.0,980
-1924.0,990
-1880.0,974
-1876.0,974
-1928.0,992
-1952.0,996
-1896.0,976
-1916.0,984
-1932.0,994
-1972.0,1004
-2000.0,1012
-1980.0,1006
-1952.0,998
-1940.0,992
-1924.0,986
-1884.0,972
-1848.0,948
-1840.0,948
-1776.0,926
-1824.0,950
-1852.0,968
-1880.0,980
-1932.0,994
-1932.0,994
-1940.0,996
-1928.0,990
-1948.0,996
-1936.0,992
-1948.0,996
-1952.0,998
-1876.0,976
-1872.0,978
-1892.0,984
-1916.0,982
-1960.0,1000
-1932.0,988
-1900.0,982
-1892.0,974
-1908.0,982
-1956.0,996
-1872.0,974
-1872.0,972
-1864.0,964
-1892.0,974
-1872.0,974
-1916.0,988
-1888.0,982
-1952.0,1000
-1940.0,994
-1916.0,988
-1952.0,992
-1924.0,988
-1932.0,992
-1932.0,992
-1952.0,996
-1944.0,986
-1960.0,994
-1924.0,988
-1880.0,972
-1900.0,976
-1900.0,978
-1872.0,972
-1896.0,974
-1840.0,962
-1876.0,970
-1904.0,980
-1916.0,988
-1952.0,992
-1916.0,984
-1904.0,958
