Energy,Magnetization
-2884.0,80
-4136.0,-22
-4812.0,-2
-5232.0,-8
-5572.0,34
-5744.0,120
-5936.0,136
-6064.0,178
-6152.0,200
-6260.0,278
-6276.0,282
-6308.0,290
-6392.0,282
-6464.0,290
-6512.0,338
-6616.0,342
-6592.0,328
-6728.0,324
-6784.0,278
-6808.0,280
-6788.0,294
-6724.0,278
-6804.0,310
-6852.0,314
-6908.0,304
-6864.0,374
-6884.0,366
-6916.0,356
-6928.0,384
-6932.0,328
-6948.0,338
-6948.0,342
-6952.0,330
-7008.0,330
-7044.0,382
-6992.0,384
-7012.0,344
-7052.0,350
-7024.0,326
-7004.0,354
-7064.0,314
-7040.0,358
-7120.0,344
-7128.0,306
-7128.0,264
-7124.0,212
-7168.0,196
-7120.0,202
-7168.0,204
-7128.0,216
-7200.0,186
-7192.0,146
-7176.0,72
-7216.0,48
-7128.0,72
-7140.0,50
-7108.0,76
-7080.0,74
-7128.0,36
-7072.0,102
-7048.0,134
-7168.0,142
-7204.0,130
-7208.0,136
-7232.0,102
-7264.0,74
-7228.0,44
-7192.0,84
-7128.0,76
-7184.0,96
-7196.0,92
-7136.0,76
-7172.0,50
-7220.0,28
-7200.0,34
-7296.0,56
-7288.0,80
-7204.0,56
-7316.0,132
-7332.0,166
-7348.0,196
-7308.0,232
-7272.0,216
-7308.0,184
-7328.0,170
-7304.0,150
-7324.0,142
-7360.0,90
-7340.0,40
-7312.0,52
-7352.0,14
-7364.0,-46
-7360.0,-48
-7260.0,-64
-7284.0,-36
-7264.0,-50
-7300.0,-64
-7312.0,-72
-7344.0,-40
-7416.0,-62
-7400.0,-52
-7440.0,-48
-7440.0,-42
-7332.0,-32
-7424.0,-42
-7356.0,-58
-7376.0,-64
-7360.0,-106
-7340.0,-126
-7384.0,-148
-7392.0,-138
-7352.0,-158
-7452.0,-94
-7484.0,-96
-7368.0,-78
-7352.0,-36
-7404.0,-76
-7404.0,-52
-7424.0,-62
-7424.0,-104
-7432.0,-104
-7420.0,-106
-7444.0,-100
-7460.0,-50
-7440.0,-28
-7424.0,-34
-7396.0,8
-7356.0,18
-7324.0,28
-7368.0,18
-7376.0,64
-7328.0,100
-7360.0,90
-7412.0,24
-7420.0,26
-7464.0,70
-7440.0,104
-7416.0,150
-7336.0,182
-7412.0,182
-7404.0,136
-7436.0,66
-7388.0,114
-7360.0,136
-7316.0,160
-7332.0,192
-7300.0,238
-7328.0,172
-7368.0,172
-7396.0,168
-7436.0,146
-7360.0,100
-7352.0,48
-7364.0,46
-7432.0,84
-7476.0,100
-7372.0,122
-7408.0,128
-7372.0,132
-7476.0,156
-7408.0,186
-7440.0,222
-7404.0,194
-7388.0,230
-7440.0,190
-7476.0,144
-7468.0,134
-7420.0,192
-7348.0,234
-7328.0,192
-7408.0,232
-7404.0,220
-7480.0,226
-7508.0,214
-7420.0,138
-7432.0,122
-7404.0,150
-7384.0,116
-7420.0,100
-7496.0,84
-7380.0,140
-7432.0,126
-7412.0,134
-7428.0,132
-7424.0,102
-7380.0,92
-7408.0,146
-7428.0,114
-7396.0,136
-7364.0,128
-7392.0,132
-7404.0,146
-7440.0,154
-7444.0,142
-7384.0,96
-7448.0,60
-7468.0,64
-7436.0,70
-7420.0,36
-7360.0,-16
-7436.0,-26
-7384.0,-20
-7384.0,-34
-7404.0,-16
-7440.0,4
-7408.0,14
-7448.0,40
-7384.0,70
-7432.0,76
-7492.0,66
-7452.0,62
-7540.0,40
-7472.0,44
-7392.0,54
-7440.0,46
-7412.0,74
-7432.0,50
-7436.0,64
-7468.0,34
-7392.0,-4
-7320.0,-56
-7376.0,-24
-7372.0,34
-7400.0,2
-7368.0,-10
-7392.0,22
-7476.0,-20
-7400.0,10
-7428.0,-10
-7440.0,-20
-7460.0,-14
-7516.0,-76
-7516.0,-54
-7524.0,-20
-7472.0,-70
-7472.0,-50
-7412.0,-58
-7496.0,-26
-7448.0,6
-7436.0,-38
-7408.0,-46
-7428.0,-58
-7408.0,-52
-7356.0,-116
-7392.0,-98
-7492.0,-108
-7556.0,-132
-7436.0,-170
-7508.0,-118
-7552.0,-118
-7508.0,-100
-7520.0,-110
-7472.0,-114
-7456.0,-124
-7452.0,-150
-7460.0,-138
-7516.0,-120
-7484.0,-104
-7444.0,-62
-7440.0,-76
-7476.0,-48
-7468.0,-66
-7512.0,-26
-7564.0,-66
-7512.0,-48
-7476.0,-28
-7464.0,-42
-7464.0,-26
-7544.0,6
-7552.0,28
-7504.0,50
-7524.0,32
-7548.0,60
-7528.0,20
-7488.0,10
-7472.0,12
-7440.0,6
-7484.0,-8
-7424.0,-2
-7456.0,34
-7484.0,52
-7420.0,70
-7428.0,52
-7484.0,90
-7448.0,110
-7480.0,68
-7576.0,82
-7500.0,66
-7476.0,56
-7388.0,-6
-7496.0,38
-7472.0,20
-7468.0,32
-7444.0,6
-7468.0,22
-7448.0,2
-7456.0,-8
-7476.0,-34
-7400.0,-110
-7500.0,-104
-7444.0,-126
-7520.0,-118
-7508.0,-118
-7460.0,-126
-7440.0,-100
-7416.0,-120
-7440.0,-92
-7528.0,-96
-7552.0,-116
-7488.0,-130
-7456.0,-142
-7448.0,-136
-7516.0,-162
-7472.0,-144
-7496.0,-160
-7512.0,-160
-7496.0,-166
-7444.0,-128
-7432.0,-128
-7552.0,-164
-7480.0,-162
-7432.0,-164
-7428.0,-160
-7428.0,-154
-7484.0,-112
-7476.0,-64
-7492.0,-34
-7480.0,-8
-7504.0,-40
-7452.0,-12
-7484.0,32
-7472.0,26
-7424.0,10
-7460.0,20
-7452.0,58
-7416.0,68
-7476.0,20
-7480.0,48
-7416.0,62
-7296.0,40
-7324.0,-26
-7320.0,0
-7360.0,-2
-7372.0,-54
-7372.0,-78
-7308.0,-136
-7428.0,-186
-7448.0,-142
-7452.0,-124
-7468.0,-140
-7520.0,-122
-7500.0,-118
-7480.0,-70
-7468.0,-60
-7436.0,-30
-7428.0,-44
-7372.0,-26
-7460.0,-108
-7376.0,-120
-7492.0,-160
-7488.0,-138
-7484.0,-130
-7532.0,-108
-7464.0,-48
-7516.0,-88
-7528.0,-46
-7500.0,-62
-7576.0,-74
-7564.0,-60
-7476.0,-42
-7464.0,-8
-7408.0,72
-7468.0,56
-7476.0,26
-7532.0,34
-7484.0,32
-7564.0,-2
-7500.0,16
-7456.0,28
-7388.0,14
-7396.0,12
-7480.0,36
-7428.0,64
-7456.0,110
-7484.0,116
-7460.0,90
-7488.0,92
-7448.0,82
-7424.0,76
-7412.0,18
-7472.0,8
-7372.0,-16
-7464.0,-70
-7476.0,-62
-7488.0,-40
-7460.0,-52
-7456.0,-48
-7460.0,-118
-7440.0,-94
-7424.0,-108
-7476.0,-100
-7432.0,-84
-7432.0,-56
-7456.0,-40
-7532.0,-64
-7512.0,-86
-7476.0,-118
-7448.0,-98
-7484.0,-144
-7476.0,-90
-7404.0,-44
-7428.0,-42
-7420.0,-74
-7480.0,-94
-7476.0,-146
-7488.0,-72
-7496.0,-32
-7496.0,-68
-7548.0,-76
-7488.0,-70
-7524.0,-54
-7496.0,-50
-7532.0,-74
-7544.0,-86
-7512.0,-76
-7452.0,-66
-7516.0,-64
-7608.0,-100
-7448.0,-110
-7428.0,-128
-7464.0,-100
-7472.0,-106
-7464.0,-100
-7484.0,-82
-7424.0,-72
-7456.0,-86
-7492.0,-30
-7484.0,2
-7516.0,52
-7536.0,24
-7464.0,-2
-7488.0,-60
-7436.0,-66
-7484.0,-118
-7492.0,-138
-7560.0,-180
-7508.0,-222
-7552.0,-232
-7544.0,-232
-7556.0,-246
-7528.0,-238
-7504.0,-276
-7484.0,-322
-7524.0,-318
-7488.0,-302
-7556.0,-294
-7412.0,-286
-7488.0,-278
-7456.0,-268
-7552.0,-282
-7532.0,-256
-7500.0,-272
-7584.0,-282
-7588.0,-268
-7512.0,-254
-7580.0,-256
-7548.0,-232
-7532.0,-246
-7492.0,-244
-7508.0,-268
-7540.0,-232
-7508.0,-246
-7524.0,-256
-7488.0,-294
-7428.0,-286
-7444.0,-284
-7536.0,-266
-7440.0,-254
-7476.0,-240
-7468.0,-282
-7480.0,-264
-7496.0,-286
-7508.0,-266
-7460.0,-200
-7508.0,-190
-7520.0,-150
-7464.0,-138
-7492.0,-152
-7476.0,-130
-7540.0,-142
-7536.0,-100
-7488.0,-44
-7488.0,-70
-7548.0,-100
-7600.0,-80
-7560.0,-72
-7556.0,-48
-7508.0,-84
-7484.0,-88
-7412.0,-66
-7468.0,-124
-7440.0,-148
-7532.0,-144
-7516.0,-152
-7560.0,-168
-7500.0,-200
-7524.0,-216
-7440.0,-224
-7492.0,-196
-7464.0,-202
-7504.0,-210
-7488.0,-180
-7444.0,-168
-7528.0,-170
-7500.0,-150
-7492.0,-174
-7448.0,-116
-7420.0,-130
-7496.0,-126
-7536.0,-120
-7448.0,-98
-7476.0,-90
-7452.0,-56
-7492.0,-58
-7444.0,-46
-7524.0,-70
-7380.0,-88
-7368.0,-84
-7384.0,-90
-7456.0,-38
-7536.0,-48
-7516.0,12
-7536.0,12
-7500.0,6
-7508.0,-2
-7488.0,20
-7456.0,42
-7476.0,46
-7500.0,10
-7548.0,30
-7468.0,24
-7436.0,14
-7484.0,10
-7464.0,48
-7472.0,28
-7532.0,72
-7500.0,80
-7484.0,78
-7468.0,60
-7456.0,92
-7552.0,90
-7480.0,78
-7436.0,86
-7528.0,86
-7560.0,84
-7576.0,136
-7556.0,164
-7608.0,144
-7512.0,140
-7496.0,160
-7472.0,152
-7528.0,128
-7580.0,88
-7556.0,118
-7516.0,74
-7524.0,28
-7504.0,54
-7560.0,18
-7548.0,52
-7552.0,50
-7460.0,82
-7556.0,108
-7556.0,140
-7584.0,134
-7540.0,126
-7572.0,150
-7532.0,80
-7548.0,68
-7560.0,90
-7544.0,88
-7640.0,62
-7604.0,86
-7576.0,86
-7568.0,90
-7520.0,102
-7524.0,106
-7552.0,98
-7576.0,90
-7492.0,128
-7556.0,136
-7552.0,148
-7480.0,134
-7540.0,142
-7560.0,168
-7528.0,186
-7468.0,228
-7480.0,216
-7520.0,216
-7504.0,194
-7500.0,162
-7528.0,154
-7520.0,210
-7512.0,248
-7552.0,202
-7512.0,232
-7428.0,250
-7476.0,306
-7540.0,336
-7588.0,266
-7504.0,228
-7484.0,216
-7468.0,236
-7464.0,306
-7492.0,290
-7488.0,310
-7552.0,322
-7552.0,356
-7508.0,330
-7412.0,354
-7376.0,314
-7492.0,312
-7480.0,338
-7544.0,336
-7500.0,332
-7564.0,342
-7568.0,344
-7600.0,340
-7528.0,308
-7492.0,278
-7528.0,286
-7452.0,252
-7444.0,198
-7436.0,176
-7420.0,240
-7424.0,266
-7504.0,302
-7564.0,302
-7584.0,302
-7488.0,310
-7572.0,348
-7536.0,316
-7604.0,330
-7584.0,356
-7564.0,344
-7528.0,338
-7484.0,350
-7464.0,344
-7536.0,324
-7500.0,282
-7468.0,244
-7488.0,226
-7516.0,232
-7544.0,272
-7612.0,294
-7560.0,298
-7520.0,262
-7564.0,230
-7624.0,240
-7524.0,206
-7552.0,224
-7560.0,244
-7488.0,230
-7528.0,250
-7436.0,254
-7436.0,240
-7452.0,254
-7520.0,274
-7544.0,296
-7536.0,328
-7540.0,276
-7504.0,302
-7508.0,280
-7488.0,254
-7524.0,264
-7492.0,238
-7404.0,214
-7420.0,206
-7392.0,162
-7396.0,194
-7436.0,198
-7512.0,200
-7552.0,166
-7568.0,176
-7544.0,146
-7568.0,138
-7564.0,162
-7556.0,162
-7592.0,132
-7536.0,146
-7496.0,82
-7444.0,110
-7392.0,74
-7396.0,52
-7420.0,34
-7408.0,50
-7468.0,76
-7528.0,114
-7588.0,114
-7468.0,122
-7440.0,126
-7520.0,112
-7588.0,124
-7560.0,94
-7512.0,96
-7456.0,108
-7444.0,112
-7468.0,134
-7380.0,130
-7400.0,114
-7444.0,138
-7500.0,126
-7492.0,130
-7380.0,156
-7512.0,218
-7432.0,166
-7500.0,120
-7556.0,144
-7536.0,158
-7548.0,150
-7476.0,162
-7496.0,174
-7552.0,194
-7496.0,202
-7520.0,216
-7488.0,200
-7508.0,176
-7496.0,202
-7504.0,218
-7528.0,198
-7532.0,180
-7484.0,152
-7540.0,140
-7484.0,176
-7468.0,232
-7508.0,248
-7512.0,214
-7420.0,214
-7488.0,248
-7556.0,268
-7552.0,212
-7500.0,214
-7512.0,222
-7560.0,240
-7480.0,224
-7488.0,162
-7480.0,200
-7508.0,226
-7628.0,224
-7568.0,206
-7564.0,156
-7568.0,166
-7568.0,166
-7496.0,190
-7520.0,158
-7544.0,80
-7540.0,106
-7480.0,76
-7484.0,52
-7524.0,10
-7504.0,6
-7540.0,64
-7552.0,62
-7556.0,76
-7572.0,74
-7508.0,80
-7496.0,90
-7544.0,96
-7504.0,86
-7536.0,104
-7600.0,112
-7484.0,102
-7548.0,136
-7560.0,120
-7580.0,104
-7524.0,120
-7540.0,124
-7548.0,118
-7484.0,134
-7520.0,138
-7512.0,128
-7600.0,114
-7604.0,126
-7576.0,138
-7560.0,136
-7580.0,114
-7576.0,98
-7568.0,100
-7552.0,106
-7520.0,76
-7492.0,88
-7488.0,84
-7600.0,48
-7612.0,10
-7556.0,42
-7548.0,42
-7484.0,66
-7544.0,94
-7504.0,78
-7500.0,132
-7484.0,120
-7564.0,104
-7604.0,76
-7540.0,52
-7544.0,64
-7536.0,96
-7488.0,108
-7400.0,122
-7480.0,142
-7492.0,146
-7396.0,170
-7440.0,92
-7492.0,138
-7552.0,214
-7512.0,186
-7544.0,226
-7496.0,198
-7504.0,210
-7544.0,180
-7556.0,186
