Energy,Magnetization
-40.0,0
-52.0,2
-40.0,2
-60.0,4
-60.0,30
-80.0,34
-72.0,38
-84.0,34
-80.0,44
-92.0,44
-92.0,46
-104.0,54
-96.0,52
-100.0,54
-108.0,58
-112.0,60
-104.0,56
-108.0,56
-120.0,62
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-112.0,60
-108.0,58
-120.0,62
-120.0,62
-112.0,58
-120.0,62
-112.0,60
-112.0,60
-108.0,58
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-120.0,62
-120.0,62
-112.0,56
-96.0,52
-96.0,44
-96.0,44
-92.0,44
-88.0,44
-92.0,50
-100.0,54
-108.0,58
-116.0,60
-112.0,58
-104.0,56
-128.0,64
-128.0,64
-120.0,62
-120.0,62
-100.0,56
-112.0,60
-120.0,62
-120.0,62
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-112.0,60
-100.0,52
-104.0,54
-120.0,62
-120.0,62
-116.0,60
-116.0,60
-120.0,62
-116.0,60
-112.0,58
-128.0,64
-128.0,64
-120.0,62
-120.0,62
-128.0,64
-116.0,60
-108.0,58
-96.0,54
-100.0,54
-120.0,62
-112.0,60
-104.0,56
-120.0,62
-120.0,62
-128.0,64
-112.0,60
-108.0,58
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-120.0,62
-128.0,64
-128.0,64
-120.0,62
-120.0,62
-108.0,58
-120.0,62
-112.0,58
-116.0,60
-112.0,60
-108.0,58
-104.0,58
-128.0,64
-128.0,64
-128.0,64
-120.0,62
-120.0,62
-112.0,60
-112.0,60
-112.0,60
-112.0,60
-108.0,58
-92.0,50
-108.0,54
-100.0,48
-100.0,48
-84.0,44
-88.0,44
-100.0,54
-108.0,58
-120.0,62
-128.0,64
-128.0,64
-116.0,60
-116.0,60
-120.0,62
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-120.0,62
-112.0,60
-128.0,64
-120.0,62
-116.0,60
-112.0,58
-120.0,62
-120.0,62
-128.0,64
-120.0,62
-128.0,64
-112.0,58
-112.0,58
-112.0,60
-128.0,64
-120.0,62
-112.0,60
-112.0,60
-128.0,64
-104.0,56
-112.0,60
-96.0,54
-92.0,52
-100.0,50
-100.0,50
-92.0,48
-80.0,46
-72.0,32
-84.0,26
-80.0,30
-92.0,28
-84.0,30
-88.0,42
-84.0,44
-76.0,46
-84.0,48
-92.0,52
-104.0,58
-120.0,62
-128.0,64
-128.0,64
-120.0,62
-120.0,62
-120.0,62
-112.0,60
-116.0,60
-120.0,62
-128.0,64
-128.0,64
-128.0,64
-120.0,62
-128.0,64
-116.0,60
-120.0,62
-128.0,64
-120.0,62
-108.0,58
-96.0,54
-84.0,48
-84.0,48
-96.0,54
-116.0,60
-120.0,62
-120.0,62
-120.0,62
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-120.0,62
-128.0,64
-116.0,60
-120.0,62
-112.0,60
-120.0,62
-128.0,64
-128.0,64
-108.0,58
-104.0,58
-116.0,60
-128.0,64
-128.0,64
-128.0,64
-120.0,62
-128.0,64
-120.0,62
-120.0,62
-100.0,54
-108.0,58
-112.0,58
-104.0,54
-104.0,52
-104.0,56
-128.0,64
-120.0,62
-128.0,64
-112.0,60
-112.0,60
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-120.0,62
-112.0,60
-120.0,62
-120.0,62
-120.0,62
-120.0,62
-128.0,64
-128.0,64
-128.0,64
-120.0,62
-120.0,62
-120.0,62
-120.0,62
-116.0,60
-120.0,62
-120.0,62
-120.0,62
-128.0,64
-120.0,62
-116.0,60
-100.0,56
-120.0,62
-120.0,62
-128.0,64
-120.0,62
-120.0,62
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-120.0,62
-112.0,60
-112.0,60
-128.0,64
-120.0,62
-128.0,64
-120.0,62
-128.0,64
-128.0,64
-120.0,62
-112.0,60
-116.0,60
-120.0,62
-112.0,60
-100.0,56
-112.0,58
-96.0,50
-84.0,46
-112.0,60
-108.0,58
-120.0,62
-116.0,60
-128.0,64
-112.0,60
-128.0,64
-128.0,64
-120.0,62
-120.0,62
-120.0,62
-120.0,62
-120.0,62
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-120.0,62
-112.0,60
-116.0,60
-120.0,62
-112.0,58
-116.0,60
-108.0,58
-128.0,64
-112.0,60
-120.0,62
-120.0,62
-128.0,64
-128.0,64
-128.0,64
-116.0,60
-112.0,58
-116.0,60
-108.0,58
-112.0,60
-104.0,58
-120.0,62
-120.0,62
-104.0,58
-128.0,64
-128.0,64
-120.0,62
-128.0,64
-120.0,62
-120.0,62
-108.0,56
-112.0,60
-120.0,62
-128.0,64
-128.0,64
-128.0,64
-104.0,58
-120.0,62
-120.0,62
-108.0,56
-100.0,54
-112.0,60
-108.0,58
-116.0,60
-120.0,62
-120.0,62
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-120.0,62
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-120.0,62
-120.0,62
-120.0,62
-120.0,62
-120.0,62
-120.0,62
-128.0,64
-120.0,62
-112.0,60
-108.0,58
-128.0,64
-128.0,64
-128.0,64
-112.0,60
-112.0,58
-108.0,58
-116.0,60
-104.0,54
-112.0,58
-104.0,56
-116.0,60
-108.0,58
-112.0,60
-104.0,58
-128.0,64
-112.0,60
-116.0,60
-120.0,62
-120.0,62
-120.0,62
-112.0,60
-120.0,62
-120.0,62
-112.0,60
-120.0,62
-120.0,62
-116.0,60
-112.0,60
-120.0,62
-120.0,62
-112.0,60
-112.0,60
-116.0,60
-108.0,58
-88.0,52
-84.0,50
-92.0,50
-100.0,56
-112.0,60
-100.0,56
-116.0,60
-120.0,62
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-128.0,64
-108.0,58
-108.0,58
-120.0,62
-128.0,64
-120.0,62
-128.0,64
-128.0,64
-120.0,62
-92.0,52
-92.0,50
-96.0,48
-100.0,54
-116.0,60
-112.0,60
-112.0,60
-112.0,60
-120.0,62
-120.0,62
-120.0,62
-128.0,64
-120.0,62
-112.0,60
-128.0,64
-120.0,62
-108.0,58
