Energy,Magnetization
-624.0,-2
-800.0,-4
-956.0,12
-1072.0,-62
-1116.0,-16
-1148.0,-2
-1192.0,18
-1164.0,-6
-1180.0,-24
-1184.0,14
-1292.0,-28
-1248.0,-34
-1236.0,28
-1280.0,16
-1228.0,44
-1264.0,112
-1332.0,108
-1352.0,92
-1428.0,126
-1384.0,102
-1376.0,104
-1368.0,64
-1388.0,50
-1328.0,24
-1352.0,42
-1332.0,74
-1388.0,64
-1292.0,134
-1244.0,140
-1336.0,82
-1324.0,132
-1332.0,124
-1340.0,92
-1328.0,116
-1316.0,114
-1352.0,136
-1344.0,152
-1372.0,128
-1324.0,100
-1328.0,128
-1332.0,100
-1288.0,78
-1292.0,78
-1336.0,68
-1352.0,92
-1348.0,134
-1368.0,98
-1420.0,124
-1356.0,114
-1400.0,56
-1420.0,80
-1448.0,56
-1428.0,82
-1440.0,64
-1388.0,52
-1356.0,82
-1388.0,40
-1380.0,34
-1440.0,68
-1404.0,46
-1352.0,40
-1336.0,38
-1344.0,30
-1364.0,82
-1348.0,104
-1356.0,110
-1404.0,26
-1324.0,42
-1284.0,-24
-1336.0,-4
-1416.0,12
-1384.0,-24
-1388.0,-30
-1340.0,-48
-1356.0,-126
-1308.0,-134
-1300.0,-112
-1316.0,-144
-1308.0,-164
-1396.0,-170
-1320.0,-200
-1436.0,-224
-1328.0,-224
-1476.0,-244
-1400.0,-280
-1444.0,-246
-1420.0,-222
-1420.0,-236
-1432.0,-218
-1396.0,-246
-1520.0,-244
-1524.0,-214
-1472.0,-234
-1500.0,-188
-1476.0,-212
-1496.0,-224
-1468.0,-252
-1424.0,-224
-1436.0,-196
-1412.0,-184
-1308.0,-164
-1404.0,-172
-1496.0,-240
-1464.0,-234
-1460.0,-220
-1564.0,-264
-1504.0,-280
-1496.0,-322
-1476.0,-308
-1572.0,-262
-1484.0,-218
-1428.0,-240
-1460.0,-220
-1420.0,-204
-1400.0,-216
-1388.0,-176
-1444.0,-242
-1428.0,-166
-1384.0,-234
-1412.0,-262
-1380.0,-296
-1400.0,-268
-1400.0,-268
-1376.0,-256
-1340.0,-290
-1340.0,-292
-1348.0,-260
-1380.0,-290
-1320.0,-306
-1340.0,-332
-1316.0,-342
-1356.0,-404
-1368.0,-426
-1356.0,-450
-1388.0,-462
-1292.0,-472
-1352.0,-530
-1500.0,-514
-1436.0,-506
-1400.0,-486
-1440.0,-474
-1436.0,-456
-1408.0,-440
-1352.0,-462
-1380.0,-438
-1476.0,-480
-1424.0,-482
-1492.0,-476
-1468.0,-530
-1460.0,-536
-1468.0,-520
-1484.0,-550
-1464.0,-486
-1432.0,-478
-1380.0,-454
-1444.0,-490
-1444.0,-440
-1504.0,-424
-1544.0,-412
-1592.0,-388
-1544.0,-426
-1516.0,-438
-1492.0,-416
-1468.0,-412
-1512.0,-404
-1504.0,-408
-1544.0,-404
-1524.0,-384
-1492.0,-408
-1472.0,-404
-1440.0,-422
-1444.0,-440
-1508.0,-442
-1520.0,-458
-1452.0,-450
-1508.0,-464
-1500.0,-444
-1512.0,-432
-1516.0,-426
-1492.0,-442
-1516.0,-434
-1636.0,-466
-1564.0,-488
-1624.0,-492
-1500.0,-466
-1488.0,-436
-1416.0,-398
-1488.0,-388
-1524.0,-380
-1472.0,-334
-1408.0,-306
-1420.0,-272
-1356.0,-210
-1428.0,-180
-1444.0,-160
-1424.0,-184
-1480.0,-230
-1432.0,-214
-1372.0,-224
-1316.0,-188
-1368.0,-212
-1408.0,-192
-1460.0,-172
-1380.0,-226
-1356.0,-252
-1444.0,-256
-1448.0,-254
-1460.0,-252
-1460.0,-216
-1452.0,-270
-1464.0,-236
-1496.0,-236
-1476.0,-252
-1432.0,-264
-1452.0,-262
-1416.0,-204
-1384.0,-218
-1444.0,-270
-1380.0,-266
-1432.0,-294
-1428.0,-260
-1388.0,-260
-1420.0,-278
-1540.0,-304
-1488.0,-272
-1432.0,-266
-1444.0,-286
-1480.0,-304
-1468.0,-280
-1372.0,-254
-1312.0,-244
-1344.0,-272
-1408.0,-262
-1432.0,-230
-1488.0,-248
-1440.0,-230
-1416.0,-238
-1432.0,-216
-1412.0,-238
-1468.0,-262
-1464.0,-224
-1420.0,-236
-1348.0,-180
-1384.0,-214
-1380.0,-236
-1436.0,-238
-1496.0,-224
-1500.0,-244
-1492.0,-260
-1392.0,-294
-1436.0,-308
-1460.0,-328
-1392.0,-360
-1428.0,-382
-1496.0,-376
-1456.0,-372
-1476.0,-378
-1496.0,-394
-1464.0,-362
-1528.0,-414
-1492.0,-412
-1436.0,-428
-1360.0,-442
-1292.0,-398
-1296.0,-406
-1348.0,-432
-1436.0,-450
-1448.0,-436
-1428.0,-418
-1392.0,-386
-1336.0,-360
-1352.0,-376
-1324.0,-344
-1292.0,-318
-1372.0,-340
-1380.0,-374
-1352.0,-342
-1356.0,-336
-1340.0,-358
-1356.0,-402
-1416.0,-434
-1332.0,-468
-1356.0,-462
-1360.0,-498
-1472.0,-570
-1456.0,-548
-1404.0,-534
-1404.0,-542
-1348.0,-516
-1348.0,-512
-1332.0,-466
-1344.0,-466
-1372.0,-494
-1452.0,-522
-1384.0,-468
-1436.0,-504
-1416.0,-512
-1424.0,-516
-1404.0,-536
-1396.0,-558
-1404.0,-562
-1460.0,-592
-1384.0,-590
-1388.0,-574
-1344.0,-590
-1424.0,-586
-1472.0,-584
-1516.0,-614
-1492.0,-586
-1540.0,-650
-1552.0,-662
-1564.0,-648
-1504.0,-660
-1488.0,-636
-1440.0,-634
-1476.0,-648
-1548.0,-664
-1568.0,-692
-1520.0,-688
-1552.0,-704
-1504.0,-696
-1476.0,-656
-1452.0,-680
-1408.0,-700
-1428.0,-686
-1384.0,-654
-1376.0,-686
-1476.0,-716
-1484.0,-742
-1556.0,-760
-1584.0,-756
-1536.0,-772
-1552.0,-806
-1532.0,-786
-1616.0,-802
-1568.0,-764
-1600.0,-786
-1640.0,-806
-1700.0,-816
-1624.0,-800
-1620.0,-780
-1592.0,-768
-1556.0,-740
-1492.0,-738
-1452.0,-704
-1384.0,-686
-1448.0,-734
-1384.0,-728
-1436.0,-706
-1456.0,-740
-1504.0,-742
-1544.0,-752
-1540.0,-766
-1616.0,-820
-1544.0,-808
-1624.0,-858
-1608.0,-850
-1668.0,-872
-1668.0,-874
-1600.0,-860
-1596.0,-864
-1644.0,-866
-1748.0,-902
-1716.0,-876
-1724.0,-902
-1688.0,-896
-1668.0,-878
-1660.0,-866
-1644.0,-862
-1716.0,-872
-1620.0,-864
-1632.0,-866
-1644.0,-856
-1620.0,-868
-1448.0,-804
-1468.0,-798
-1508.0,-794
-1520.0,-794
-1592.0,-832
-1576.0,-818
-1548.0,-834
-1588.0,-860
-1672.0,-878
-1688.0,-868
-1652.0,-870
-1588.0,-826
