Energy,Magnetization
-2228.0,-144
-2888.0,-286
-3056.0,-378
-3284.0,-316
-3216.0,-322
-3228.0,-230
-3348.0,-150
-3500.0,-116
-3468.0,-156
-3560.0,-78
-3600.0,-38
-3628.0,-4
-3568.0,8
-3616.0,22
-3532.0,134
-3512.0,108
-3448.0,22
-3436.0,56
-3564.0,-28
-3628.0,48
-3580.0,108
-3660.0,118
-3680.0,230
-3632.0,304
-3532.0,290
-3476.0,338
-3480.0,238
-3692.0,354
-3456.0,132
-3564.0,56
-3640.0,12
-3684.0,54
-3640.0,4
-3504.0,-92
-3556.0,-16
-3376.0,-52
-3456.0,-54
-3564.0,-130
-3556.0,-70
-3724.0,-32
-3792.0,-118
-3560.0,-244
-3520.0,-262
-3512.0,-124
-3556.0,-166
-3584.0,-278
-3680.0,-228
-3752.0,-162
-3776.0,-58
-3672.0,24
-3796.0,-22
-3612.0,-150
-3712.0,-276
-3548.0,-282
-3748.0,-500
-3688.0,-552
-3504.0,-454
-3520.0,-436
-3760.0,-446
-3660.0,-502
-3652.0,-542
-3596.0,-464
-3724.0,-466
-3812.0,-542
-3816.0,-660
-3740.0,-554
-3492.0,-512
-3468.0,-402
-3548.0,-330
-3448.0,-332
-3452.0,-196
-3528.0,-204
-3472.0,-180
-3420.0,-216
-3440.0,-246
-3560.0,-316
-3552.0,-282
-3648.0,-302
-3720.0,-344
-3708.0,-308
-3472.0,-304
-3552.0,-162
-3460.0,-34
-3536.0,-102
-3592.0,-112
-3512.0,-74
-3544.0,-14
-3300.0,-188
-3488.0,-212
-3572.0,-238
-3636.0,-196
-3772.0,-160
-3724.0,-176
-3592.0,-254
-3400.0,-362
-3360.0,-360
-3564.0,-372
-3520.0,-464
-3584.0,-472
-3616.0,-418
-3680.0,-302
-3636.0,-192
-3660.0,-156
-3388.0,-34
-3468.0,-4
-3496.0,-26
-3468.0,-100
-3440.0,-216
-3536.0,-298
-3652.0,-200
-3596.0,-210
-3536.0,-214
-3672.0,-150
-3584.0,-8
-3620.0,-42
-3660.0,-122
-3668.0,-238
-3604.0,-196
-3708.0,-162
-3696.0,-120
-3572.0,-148
-3532.0,-80
-3456.0,-106
-3520.0,-72
-3560.0,-74
-3412.0,-148
-3648.0,-158
-3568.0,-198
-3596.0,-234
-3600.0,-248
-3584.0,-222
-3584.0,-140
-3524.0,-146
-3528.0,-36
-3456.0,-52
-3400.0,-102
-3616.0,-56
-3532.0,60
-3636.0,10
-3540.0,56
-3420.0,128
-3588.0,312
-3656.0,406
-3560.0,214
-3436.0,164
-3552.0,116
-3572.0,-62
-3616.0,-34
-3524.0,30
-3632.0,44
-3688.0,102
-3628.0,-12
-3416.0,16
-3568.0,182
-3508.0,84
-3492.0,100
-3652.0,176
-3824.0,254
-3712.0,206
-3768.0,182
-3792.0,270
-3772.0,286
-3768.0,292
-3780.0,356
-3720.0,292
-3800.0,286
-3856.0,414
-3840.0,578
-3868.0,614
-3852.0,586
-3688.0,702
-3760.0,584
-3688.0,504
-3660.0,462
-3716.0,520
-3508.0,468
-3620.0,328
-3520.0,360
-3676.0,338
-3644.0,258
-3668.0,212
-3740.0,178
-3588.0,88
-3668.0,170
-3560.0,56
-3620.0,106
-3628.0,194
-3520.0,206
-3500.0,150
-3528.0,214
-3528.0,356
-3536.0,458
-3324.0,524
-3452.0,576
-3464.0,490
-3404.0,602
-3524.0,476
-3576.0,430
-3464.0,390
-3524.0,606
-3488.0,444
-3620.0,558
-3688.0,514
-3760.0,660
-3820.0,600
-3680.0,526
-3636.0,440
-3604.0,470
-3700.0,328
-3560.0,318
-3648.0,262
-3736.0,324
-3524.0,374
-3652.0,420
-3744.0,300
-3668.0,298
-3616.0,320
-3540.0,308
-3448.0,384
-3836.0,514
-3832.0,572
-3724.0,514
-3736.0,594
-3704.0,528
-3592.0,380
-3580.0,290
-3556.0,140
-3492.0,226
-3616.0,86
-3704.0,56
-3568.0,-4
-3588.0,32
-3396.0,-60
-3416.0,-66
-3408.0,8
-3480.0,30
-3576.0,144
-3532.0,30
-3548.0,122
-3604.0,240
-3436.0,346
